AGNO,COD_COM_RBD,COD_DEPE2,RURAL_RBD,COD_ENSE,COD_GRADO,MRUN,GEN_ALU,EDAD_ALU,COD_COM_ALU,PROM_GRAL,ASISTENCIA,SIT_FIN_R,PROM_GRAL_ANTERIOR,ASISTENCIA_ANTERIOR,EE_GRATUITO,PRIORITARIO_ALU,PREFERENTE_ALU,BEN_SEP,DESERTAR
2024,7301,2,0,410,3,18306270,2,16.0,7301,6.0,92,P,,,0,1,0,1,0
2020,13201,2,0,310,3,8778167,2,18.0,13201,0.0,0,Y,,,1,1,0,1,1
2023,8302,1,0,310,4,23867818,1,17.0,8302,6.5,86,P,6.7,89.0,1,1,0,1,0
2017,1107,2,0,410,3,24930860,1,16.0,1107,5.0,70,P,,,0,1,0,1,0
2021,5301,2,0,510,4,2150020,1,19.0,5301,4.8,100,P,4.5,100.0,1,0,1,1,0
2024,8305,1,0,310,3,10976973,2,16.0,8305,5.6,91,P,,,1,1,0,1,0
2017,9101,2,0,310,3,22699069,2,17.0,9101,5.5,99,P,,,0,1,0,1,0
2024,13110,1,0,310,3,3629467,2,16.0,13129,6.6,98,P,,,1,0,1,1,0
2023,1101,2,0,310,4,12983983,1,18.0,1101,6.1,94,P,5.9,88.0,1,1,0,1,0
2017,13401,1,0,610,3,2335352,2,16.0,13401,5.0,88,P,,,1,1,0,1,0
2024,10101,1,0,610,3,13193501,2,17.0,10101,5.7,85,P,,,1,1,0,1,0
2022,13101,1,0,410,3,19889295,2,16.0,13104,6.1,91,P,,,1,1,0,1,0
2022,8102,1,0,310,3,3193073,1,16.0,8102,6.6,97,P,,,1,1,0,1,0
2023,13125,2,0,310,4,17508490,2,17.0,13104,6.2,93,P,6.3,89.0,1,1,0,1,0
2021,8110,1,0,310,3,6338436,1,16.0,8110,5.5,83,P,,,1,0,1,1,0
2019,8101,2,0,510,3,8896261,1,16.0,8303,6.2,95,P,,,0,0,1,0,0
2021,13127,4,0,510,4,11006505,1,18.0,13302,5.6,81,P,5.1,100.0,1,1,0,0,0
2020,8301,2,0,610,4,20607314,2,19.0,8306,4.6,85,P,5.5,99.0,1,1,0,1,0
2017,13301,1,0,310,3,5359525,2,16.0,13301,5.0,98,P,,,1,0,1,1,0
2018,13109,2,0,510,3,8358461,2,16.0,13131,6.2,100,P,,,1,1,0,1,0
2018,10101,1,0,310,4,10090070,2,18.0,10101,6.0,88,P,,,1,1,0,1,0
2020,5501,2,0,310,3,21317124,2,16.0,5502,5.1,100,P,,,0,0,1,0,0
2024,1101,2,0,310,4,17164719,1,17.0,1101,6.5,97,P,6.2,99.0,0,1,0,1,0
2020,13110,2,0,310,3,8609796,2,16.0,13110,5.3,99,P,,,0,0,1,0,0
2017,13404,1,1,310,3,16578707,1,16.0,13404,5.9,89,P,,,1,1,0,1,0
2024,13101,2,0,410,4,24021960,2,17.0,13126,6.2,82,P,5.6,83.0,1,0,1,1,0
2018,10205,1,0,410,4,18961146,2,18.0,10205,5.3,93,P,4.5,88.0,1,0,1,1,0
2018,13119,2,0,310,4,18649163,2,17.0,13122,5.1,90,P,4.9,93.0,0,1,0,0,0
2019,2301,1,0,310,3,8371304,2,16.0,2301,6.2,85,P,,,1,0,1,1,0
2017,13101,1,0,310,4,8519658,2,18.0,13124,5.8,81,P,5.6,82.0,1,0,1,1,0
2023,8203,2,0,510,3,11535665,1,16.0,8206,5.6,97,P,,,1,1,0,1,0
2021,5802,2,0,310,4,14488721,1,17.0,5802,5.8,91,P,6.1,85.0,1,0,1,1,0
2023,13127,2,0,410,3,15575980,1,16.0,13122,5.9,97,P,,,1,1,0,1,0
2018,7201,1,0,310,4,6718377,2,17.0,7201,5.9,85,P,5.5,85.0,1,1,0,1,0
2024,9108,1,0,310,3,18232720,1,17.0,9108,5.6,97,P,,,1,0,1,1,0
2017,9112,2,0,510,3,4988579,2,16.0,9112,5.4,96,P,,,1,1,0,1,0
2023,4102,2,0,310,4,3179655,1,17.0,4102,5.0,88,P,5.1,73.0,1,0,1,1,0
2022,13114,1,0,310,4,25132061,2,18.0,13127,5.1,94,P,,,1,0,1,1,0
2022,8102,1,0,310,4,22494013,2,17.0,8102,6.6,96,P,6.5,100.0,1,1,0,1,0
2018,6104,1,0,710,4,23957173,1,18.0,6104,4.5,62,P,5.0,87.0,1,1,0,1,0
2021,4303,1,0,310,3,1494070,2,16.0,4303,5.9,100,P,,,1,0,1,1,0
2021,5801,2,0,310,4,11908948,2,17.0,5801,5.8,85,P,5.9,90.0,1,0,1,1,0
2017,8101,2,0,310,3,3256720,2,16.0,8101,5.5,90,P,,,0,0,1,0,0
2021,13124,2,0,610,4,2734522,1,17.0,13124,5.4,57,P,5.3,100.0,1,0,1,1,0
2018,16109,1,0,310,4,20992684,2,17.0,16109,6.8,92,P,6.7,92.0,1,1,0,1,0
2019,6301,4,0,510,3,322563,1,16.0,6117,5.6,98,P,,,1,1,0,0,0
2020,13105,2,0,410,4,10932264,1,17.0,13102,5.0,85,P,5.6,91.0,1,0,1,1,0
2021,13119,1,0,310,3,2133778,2,16.0,13119,5.6,85,P,,,1,0,1,1,0
2024,1101,2,0,310,3,4995376,2,16.0,1101,6.7,100,P,,,1,0,1,1,0
2021,8110,1,0,410,3,18669766,2,17.0,8110,5.7,85,P,,,1,0,1,1,0
2020,16301,2,0,310,4,3964181,2,17.0,16301,7.0,100,P,6.8,96.0,1,1,0,1,0
2023,13201,2,0,310,4,21876839,2,17.0,13201,6.0,94,P,5.8,85.0,0,0,1,0,0
2022,9101,2,0,610,3,16579508,2,17.0,9101,5.8,100,P,,,1,1,0,1,0
2022,13124,2,0,310,4,8288302,1,17.0,13124,6.1,86,P,5.5,85.0,0,0,1,0,0
2018,13110,2,0,310,3,2631704,1,16.0,13110,5.2,93,P,,,0,0,1,0,0
2021,13101,2,0,310,4,1609879,2,17.0,13119,6.7,86,P,6.5,99.0,0,0,1,0,0
2017,4301,2,0,310,4,20131348,2,17.0,4301,5.1,93,P,5.3,91.0,1,0,1,1,0
2024,16104,1,0,310,4,473744,2,17.0,16104,6.6,91,P,6.3,94.0,1,1,0,1,0
2017,13120,4,0,510,4,15996271,1,17.0,13118,5.7,84,P,6.2,88.0,0,0,1,0,0
2019,5701,2,0,310,4,11837788,2,17.0,12101,5.4,88,P,4.8,89.0,0,0,1,0,0
2019,3101,2,0,510,3,11265727,1,17.0,3101,6.3,89,P,,,0,0,1,0,0
2024,13119,2,0,310,3,16567884,1,16.0,13119,6.7,95,P,,,0,1,0,0,0
2018,13123,1,0,310,4,1706847,1,17.0,13125,6.2,90,P,6.1,95.0,1,1,0,1,0
2019,2101,2,0,310,3,17696304,2,16.0,2101,6.2,95,P,,,0,0,1,0,0
2022,13126,2,0,410,4,20107785,2,17.0,13126,6.2,87,P,6.1,98.0,1,1,0,1,0
2020,12101,1,0,310,4,4358936,2,17.0,12101,6.4,100,P,6.3,88.0,1,0,1,1,0
2020,10109,2,1,610,4,9714453,1,17.0,10102,3.1,85,P,4.9,94.0,1,1,0,1,0
2022,16204,1,0,310,4,292529,1,17.0,16204,5.7,92,P,5.5,100.0,1,1,0,1,0
2024,9111,5,0,310,3,17835690,2,17.0,13121,5.5,88,P,,,1,1,0,1,0
2022,10201,1,0,410,4,19618513,1,18.0,10205,6.4,95,P,6.2,95.0,1,1,0,1,0
2022,8301,1,0,510,4,13683602,1,17.0,8301,5.8,91,P,6.3,94.0,1,0,1,1,0
2022,9203,1,0,610,3,15617086,2,18.0,9203,3.1,87,R,,,1,1,0,1,0
2023,13119,1,0,310,4,11977669,2,17.0,13119,5.8,80,P,5.6,71.0,1,0,1,1,0
2022,13131,1,0,510,3,6990321,2,16.0,13131,6.4,91,P,,,1,0,1,1,0
2019,5101,2,0,310,3,17402056,1,16.0,5101,4.7,86,P,,,0,1,0,1,0
2020,13503,1,0,310,4,7620298,1,18.0,13503,6.6,87,P,6.1,62.0,1,0,1,1,0
2017,7404,2,0,310,3,11092404,1,16.0,7404,5.1,100,P,,,1,1,0,1,0
2024,8111,1,0,310,4,4252233,1,17.0,8111,6.4,96,P,6.3,92.0,1,1,0,1,0
2018,10301,2,0,610,4,18155451,2,17.0,10301,4.8,66,R,4.6,86.0,1,1,0,1,0
2020,10306,2,1,610,4,8166006,2,17.0,10306,5.4,100,P,5.6,91.0,1,1,0,1,0
2019,9101,2,0,310,3,21894180,2,17.0,9101,4.9,96,P,,,0,1,0,0,0
2019,10102,1,0,310,4,23061514,2,18.0,10102,5.6,89,P,5.6,87.0,1,0,1,1,0
2018,13130,2,0,310,4,15420821,1,17.0,13130,5.0,91,P,5.5,95.0,1,0,1,1,0
2017,15101,2,0,310,4,19951700,1,17.0,15101,6.1,85,P,6.0,89.0,1,0,1,1,0
2018,12401,2,0,310,3,8234101,2,17.0,12101,5.5,89,P,,,1,0,1,1,0
2018,4202,1,0,310,4,16418068,1,17.0,4202,6.1,93,P,6.1,98.0,1,1,0,1,0
2019,8305,1,0,310,4,23897034,1,18.0,8305,5.4,86,P,4.8,87.0,1,0,1,1,0
2021,8102,1,0,310,3,10491051,2,17.0,8102,5.1,85,P,,,1,1,0,1,0
2022,5702,1,0,510,3,20376483,2,16.0,5702,6.6,98,P,,,1,1,0,1,0
2020,9101,2,0,510,3,5419317,1,16.0,9101,5.7,100,P,,,1,1,0,1,0
2021,5801,1,0,310,3,14671691,1,17.0,5801,0.0,0,Y,,,1,0,1,1,1
2024,13123,1,0,310,3,5107169,1,17.0,13107,5.9,87,P,,,1,1,0,1,0
2018,10101,1,0,310,4,12506819,1,17.0,10101,5.9,93,P,5.6,92.0,1,1,0,1,0
2022,10210,1,0,710,4,21696764,1,18.0,10210,4.9,96,P,4.9,100.0,1,1,0,1,0
